variant,graph_total_edges,graph_tracking_mismatch_count,graph_missing_relation_tracking_count,graph_missing_graph_source_count,graph_weak_endpoint_binding_count,graph_both_endpoints_missing_count,graph_empty_resolved_source_count,graph_tracking_mismatch_rate,graph_weak_endpoint_binding_rate,graph_both_endpoints_missing_rate,labeled_total_rows,labeled_correct_count,labeled_correct_exported_weak_endpoint_binding_count,labeled_correct_exported_both_endpoints_missing_count,labeled_correct_exported_empty_source_count,labeled_correct_exported_weak_endpoint_binding_rate,labeled_correct_exported_both_endpoints_missing_rate,labeled_correct_resolved_weak_endpoint_binding_count,labeled_correct_resolved_both_endpoints_missing_count,labeled_correct_resolved_empty_source_count,labeled_correct_resolved_weak_endpoint_binding_rate,labeled_correct_resolved_both_endpoints_missing_rate,labeled_wrong_count,labeled_wrong_exported_weak_endpoint_binding_count,labeled_wrong_exported_both_endpoints_missing_count,labeled_wrong_exported_empty_source_count,labeled_wrong_exported_weak_endpoint_binding_rate,labeled_wrong_exported_both_endpoints_missing_rate,labeled_wrong_resolved_weak_endpoint_binding_count,labeled_wrong_resolved_both_endpoints_missing_count,labeled_wrong_resolved_empty_source_count,labeled_wrong_resolved_weak_endpoint_binding_rate,labeled_wrong_resolved_both_endpoints_missing_rate,labeled_ambiguous_count,labeled_ambiguous_exported_weak_endpoint_binding_count,labeled_ambiguous_exported_both_endpoints_missing_count,labeled_ambiguous_exported_empty_source_count,labeled_ambiguous_exported_weak_endpoint_binding_rate,labeled_ambiguous_exported_both_endpoints_missing_rate,labeled_ambiguous_resolved_weak_endpoint_binding_count,labeled_ambiguous_resolved_both_endpoints_missing_count,labeled_ambiguous_resolved_empty_source_count,labeled_ambiguous_resolved_weak_endpoint_binding_rate,labeled_ambiguous_resolved_both_endpoints_missing_rate
baseline,4480,0,0,0,57,2,0,0.0,0.012723214285714286,0.0004464285714285714,100,15,0,0,0,0.0,0.0,0,0,0,0.0,0.0,50,0,0,0,0.0,0.0,0,0,0,0.0,0.0,35,0,0,0,0.0,0.0,0,0,0,0.0,0.0
noisefilter,4473,0,0,0,56,1,0,0.0,0.012519561815336464,0.000223563603845294,100,22,0,0,0,0.0,0.0,0,0,0,0.0,0.0,43,0,0,0,0.0,0.0,0,0,0,0.0,0.0,35,0,0,0,0.0,0.0,0,0,0,0.0,0.0
